id,title,release_date,original_language,vote_average,vote_count,popularity,runtime,adult,genres,overview
1118031,Apocalypse Z: The Beginning of the End,2024-10-04,es,6.85,733,641.69,119,False,"Drama, Action, Horror","When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers."
1147416,"Miraculous World, London: At the Edge of Time",2024-11-14,fr,7.8,62,636.922,50,False,"Animation, Adventure, Action, Fantasy","To save the future from a terrible fate, Marinette becomes Chronobug and teams up with Bunnyx to defeat a mysterious opponent who travels through time. Who is this new supervillain, and why are they obsessed with exposing Marinette's secret superhero identity? Marinette's only hope is to defeat her new opponent to prevent the end of Ladybug and time itself!"
1100782,Smile 2,2024-10-16,en,6.6,994,609.726,127,False,"Horror, Mystery","About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control."
957119,Sidelined: The QB and Me,2024-11-29,en,6.387,75,604.12,99,False,"Comedy, Romance","Dallas, a burdened but headstrong dancer, is determined to get into the best dance school in the country—her late mother’s alma mater. However, that dream is suddenly derailed when the cheeky yet secretly grieving football star, Drayton, crashes into her life with a unique story of his own. Will the two of them be able to grow into their dreams together, or will their dreams be sidelined?"
402431,Wicked,2024-11-20,en,7.554,626,657.956,160,False,"Drama, Romance, Fantasy","In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West."
945961,Alien: Romulus,2024-08-13,en,7.2,2741,604.674,119,False,"Horror, Science Fiction","While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe."
519182,Despicable Me 4,2024-06-20,en,7.084,2320,606.816,94,False,"Animation, Family, Comedy, Science Fiction","Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run."
1022789,Inside Out 2,2024-06-11,en,7.6,5047,626.213,97,False,"Animation, Adventure, Comedy, Drama, Family","Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone."
1156593,Culpa tuya,2024-12-26,es,8.0,1,751.435,0,False,"Drama, Romance",The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.
8871,How the Grinch Stole Christmas,2000-11-17,en,6.767,7514,598.977,104,False,"Family, Comedy, Fantasy",The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...
1051896,Arcadian,2024-04-12,en,6.1,494,482.077,92,False,"Action, Horror, Thriller, Science Fiction","In the near future, on a decimated Earth, Paul and his twin sons face terror at night when ferocious creatures awaken. When Paul is nearly killed, the boys come up with a plan for survival, using everything their father taught them to keep him alive."
1171640,GTMAX,2024-11-19,fr,6.082,85,430.364,100,False,"Action, Crime, Drama","When a notorious gang of bikers recruits her brother for a heist, a former motocross champion must face her deepest fears to keep her family safe."
41446,Scream 4,2011-04-13,en,6.46,3726,609.475,111,False,"Horror, Mystery","Ten years have passed, and Sidney Prescott has put herself back together thanks to her writing. However, her return to Woodsboro sparks the return of the Ghostface Killer."
1064213,Anora,2024-10-14,en,7.2,458,489.562,139,False,"Romance, Comedy, Drama","A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled."
1389147,SDI: Secret Department of Intervention,2024-11-28,en,5.0,6,413.878,120,False,Action,"Secret agents Mike, Stan, and Chloé, tasked with retrieving a stolen briefcase, discover it holds a secret map to hidden World War II treasures. Betrayed by their own French Minister of Defense and hunted by a former Marine, Vogel, the team faces internal conflicts and danger. As alliances shift, secrets unravel, and battles ensue, they must thwart Vogel's plan to claim the treasures, setting the stage for an international treasure hunt filled with unexpected twists and unresolved romantic entanglements."
791042,Levels,2024-11-01,en,5.695,41,425.934,92,False,"Action, Science Fiction, Thriller","After witnessing his girlfriend's murder, a man risks everything - including reality itself - to discover the truth."
1029235,Azrael,2024-09-27,en,5.958,154,375.671,86,False,"Action, Horror, Thriller","In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness."
772,Home Alone 2: Lost in New York,1992-11-15,en,6.8,9651,456.04,120,False,"Comedy, Family, Adventure","Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve."
1252470,Sikandar Ka Muqaddar,2024-11-29,hi,6.1,13,372.236,143,False,"Thriller, Crime, Mystery, Action","After an unsolved diamond heist, a hard-nosed cop’s pursuit of his key suspect turns into obsession, until they finally face each other — and the truth."
420818,The Lion King,2019-07-12,en,7.115,10017,394.217,118,False,"Adventure, Drama, Family, Animation","Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his."
1196470,Survive,2024-06-19,fr,5.8,80,375.414,90,False,"Thriller, Adventure, Action, Science Fiction",A couple celebrates their son’s birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.
1357633,Solo Leveling -ReAwakening-,2024-11-26,ja,7.321,28,376.043,116,False,"Action, Adventure, Fantasy, Animation","Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience."
1188808,Tuhog,2023-11-03,tl,7.0,3,421.931,92,False,"Drama, Romance","Abie mourns after the death of Michael. She finds solace from her supposedly soon-to-be father-in-law, Roldan, and starts falling for him. But when Michael returns, their world turns upside down."
360920,The Grinch,2018-11-08,en,6.861,4002,375.171,85,False,"Animation, Family, Comedy, Fantasy",The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.
995803,Arena Wars,2024-06-25,en,5.3,33,403.649,96,False,"Action, Science Fiction, Thriller, Comedy, Horror","In 2045 convicted criminals are given the opportunity to compete on the world's #1 televised sporting event, Arena Wars. They must survive 7 rooms and 7 of the most vicious killers in the country. If they win, they regain their freedom."
1100099,We Live in Time,2024-10-10,en,7.6,244,367.188,108,False,"Romance, Drama","An up-and-coming chef and a recent divorcée find their lives forever changed when a chance encounter brings them together, in a decade-spanning, deeply moving romance."
1124641,Classified,2024-09-19,en,5.9,98,305.379,105,False,"Action, Thriller","Operating alone in the field for more than 20 years, a CIA hitman uses the ""Help Wanted"" section of the newspapers to get his orders from the Agency. His long-lost daughter, now a UK MI6 analyst, tracks him down to deliver shocking news: his CIA boss has been dead for years and the division long since shut down. Together, they set out to discover whose orders he's been executing."
592983,Spellbound,2024-11-22,en,6.9,167,310.622,111,False,"Animation, Fantasy, Family, Adventure, Comedy","When a powerful spell turns her parents into giant monsters, a teenage princess must journey into the wild to reverse the curse before it's too late."
675353,Sonic the Hedgehog 2,2022-03-30,en,7.498,5036,377.525,123,False,"Action, Adventure, Family, Comedy","After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands."
1097870,Dear Santa,2024-11-24,en,6.389,217,337.207,108,False,"Fantasy, Comedy","Likeable 6th grader Liam writes to Santa asking him to prove that he's real. But Liam is dyslexic and accidentally sends his letter to Satan instead, who shows up at Liam's house, excited to have his first fanboy letter and wanting a little of Liam's soul."
1064028,Subservience,2024-08-15,en,6.708,431,307.704,105,False,"Science Fiction, Thriller, Horror","With his wife out sick, a struggling father brings home a lifelike AI, only to have his self-aware new help want everything her new family has to offer... Like the affection of her owner and she'll kill to get it."
1108427,Moana,2026-07-09,en,0.0,0,310.519,0,False,"Adventure, Comedy, Family, Fantasy","In Ancient Polynesia, when a terrible curse incurred by Maui reaches the island of an impetuous Chieftain, his willful daughter answers the Ocean's call to seek out the demigod to set things right."
1252309,Pídeme lo que quieras,2024-11-29,es,5.944,9,301.498,0,False,"Romance, Drama","After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair."
482600,Japanese Mom,2017-02-09,ko,6.2,30,317.249,91,False,"Romance, Drama","""Innocent face, D-cup breasts and perfect intercourse skills! Son, this is not your girlfriend anymore but your mother!""  Ki-ho brings Yuki from Japan to marry her. However, he starts cheating on her with his ex-girlfriend in Korea.  Min-cheol comforted Yuki and thought of her as his daughter-in-law, but one day he realizes he is looking at her as a woman.  In the end, Yuki and Min-cheol have intercourse without Ki-ho knowing..."
1106739,Juror #2,2024-10-30,en,7.004,784,281.961,114,False,"Crime, Drama","While serving as a juror in a high profile murder trial, family man Justin Kemp finds himself struggling with a serious moral dilemma…one he could use to sway the jury verdict and potentially convict—or free—the accused killer."
1154223,Hunting With Tigers,2024-11-22,fr,6.105,43,271.57,109,False,"Action, Thriller","Malik, a young Parisian hustler, discovers that his stepfather Serge, a famous bank robber, has been arrested along with his accomplices. During the trial, Iris, one of the accused's lawyers, Chérif, requests Malik to accept a dangerous heist in exchange for Serge and her client's liberty. Malik must convince and reunite Chérif's former partners to accomplish this high-risk stickup."
